,Name of bill,Bill no.,Stage,Last activity,Select Committee
36,Exclusive Economic Zone and Continental Shelf (Environmental Effects) Bill  Bill - government,321-3,RA,03 September 2012,Local Government and Environment Committee
37,Regulatory Reform (Repeals) Bill  Bill - government,249-2,RA,30 August 2012,Commerce Committee
38,Agricultural Compounds and Veterinary Medicines Amendment Bill  Bill - government,269-3A,RA,30 August 2012,
39,Animal Products Amendment Bill  Bill - government,269-3B,RA,30 August 2012,
40,Companies Amendment Bill (No 2)  Bill - government,269-3C,RA,30 August 2012,
41,Conservation Amendment Bill  Bill - government,269-3D,RA,30 August 2012,
42,"Films, Videos, and Publications Classification Amendment Bill  Bill - government",269-3E,RA,30 August 2012,
43,Fisheries Amendment Bill  Bill - government,269-3F,RA,30 August 2012,
44,Friendly Societies and Credit Unions Amendment Bill  Bill - government,269-3G,RA,30 August 2012,
45,Radiocommunications Amendment Bill  Bill - government,269-3H,RA,30 August 2012,
46,Registered Architects Amendment Bill  Bill - government,269-3I,RA,30 August 2012,
47,Statistics Amendment Bill  Bill - government,269-3J,RA,30 August 2012,
48,Takeovers Amendment Bill  Bill - government,269-3K,RA,30 August 2012,
49,Unit Trusts Amendment Bill  Bill - government,269-3L,RA,30 August 2012,
0,Wine Amendment Bill  Bill - government,269-3M,RA,30 August 2012,
1,State-Owned Enterprises and Crown Entities (Protecting New Zealand's Strategic Assets) Amendment Bill  Bill - member's,35-1,W,29 August 2012,
2,Appropriation (2012/13 Estimates) Bill  Bill - government,24-1,RA,27 August 2012,
3,Imprest Supply (Second for 2012/13) Bill  Bill - government,47-1,RA,27 August 2012,
4,Regulatory Reform Bill  Bill - government,269-2,3,22 August 2012,Commerce Committee
5,Local Government (Salary Moderation) Amendment Bill  Bill - member's,32-1,W,15 August 2012,
6,Overseas Investment (Restriction on Foreign Ownership of Land) Amendment Bill  Bill - member's,31-1,W,15 August 2012,
7,Ngai Tāmanuhiri Claims Settlement Bill  Bill - government,320-3,RA,31 July 2012,Māori Affairs Committee
8,Ngāti Mākino Claims Settlement Bill  Bill - government,335-2,RA,31 July 2012,Māori Affairs Committee
9,Maraeroa A and B Blocks Incorporation Bill  Bill - private,8-2,RA,31 July 2012,Māori Affairs Committee
10,Maraeroa A and B Blocks Claims Settlement Bill  Bill - government,9-2,RA,31 July 2012,Māori Affairs Committee
11,Rongowhakaata Claims Settlement Bill  Bill - government,4-2,RA,31 July 2012,Māori Affairs Committee
12,"Commerce Commission (International Co-operation, and Fees) Bill  Bill - government",293-2,3,31 July 2012,Commerce Committee
13,Social Security (Youth Support and Work Focus) Amendment Bill  Bill - government,10-3,RA,26 July 2012,Social Services Committee
14,Dairy Industry Restructuring Amendment Bill  Bill - government,11-3,RA,26 July 2012,Primary Production Committee
15,Illegal Contracts (Unlawful Limitation on Regulators' Powers) Amendment Bill  Bill - member's,14-1,W,25 July 2012,
16,Prisoners' and Victims' Claims (2012 Expiry and Application Dates) Amendment Bill  Bill - government,12-1,RA,29 June 2012,Justice and Electoral Committee
17,Appropriation (2011/12 Supplementary Estimates) Bill  Bill - government,25-1,RA,29 June 2012,
18,State-Owned Enterprises Amendment Bill  Bill - government,7-3A,RA,29 June 2012,
19,Public Finance (Mixed Ownership Model) Amendment Bill  Bill - government,7-3B,RA,29 June 2012,
20,Imprest Supply (First for 2012/13) Bill  Bill - government,29-1,RA,29 June 2012,
21,Fair Trading (Soliciting on Behalf of Charities) Amendment Bill  Bill - member's,102-2,RA,29 June 2012,Commerce Committee
22,Shop Trading Hours Act Repeal (Waitaki Easter Trading) Amendment Bill  Bill - member's,191-1,W,27 June 2012,
23,Depleted Uranium (Prohibition) Bill  Bill - member's,205-1,W,27 June 2012,
24,Mixed Ownership Model Bill  Bill - government,7-2,3,21 June 2012,Finance and Expenditure Committee
25,New Zealand Public Health and Disability Amendment Bill  Bill - government,332-3A,RA,06 June 2012,
26,Mental Health Commission Amendment Bill  Bill - government,332-3B,RA,06 June 2012,
27,Charities Amendment Bill (No 2)  Bill - government,332-3C,RA,06 June 2012,
28,Crown Entities Reform Bill  Bill - government,332-2,3,29 May 2012,Government Administration Committee
29,Taxation (Budget Measures) Bill  Bill - government,23-1,RA,29 May 2012,
30,Social Security (Long-term Residential Care—Budget Measures) Amendment Bill  Bill - government,21-1,RA,29 May 2012,
31,Student Loan Scheme (Budget Measures) Amendment Bill  Bill - government,,RA,29 May 2012,
32,Employment Relations (Secret Ballot for Strikes) Amendment Bill  Bill - member's,121-3,,14 May 2012,Transport and Industrial Relations Committee
33,Taxation (International Investment and Remedial Matters) Bill  Bill - government,227-3,RA,07 May 2012,Finance and Expenditure Committee
34,Crown Pastoral Land (Rent for Pastoral Leases) Amendment Bill  Bill - government,262-2,RA,07 May 2012,Primary Production Committee
35,Appropriation (2010/11 Financial Review) Bill  Bill - government,1-1,RA,07 May 2012,
36,Military Manoeuvres Act Repeal Bill  Bill - member's,173-2,RA,11 April 2012,"Foreign Affairs, Defence and Trade Committee"
37,Student Loan Scheme Amendment Bill  Bill - government,326-3,RA,11 April 2012,Finance and Expenditure Committee
38,Nga Wai o Maniapoto (Waipa River) Bill  Bill - government,231-3,RA,05 April 2012,Māori Affairs Committee
39,Ngati Porou Claims Settlement Bill  Bill - government,270-3,RA,05 April 2012,Māori Affairs Committee
40,Ngāti Pāhauwera Treaty Claims Settlement Bill  Bill - government,273-3,RA,05 April 2012,Māori Affairs Committee
41,Customs and Excise Amendment Bill  Bill - government,200-3A,RA,05 April 2012,
42,Biosecurity Amendment Bill  Bill - government,200-3B,RA,05 April 2012,
43,Ngāti Manawa Claims Settlement Bill  Bill - government,225-3A,RA,05 April 2012,
44,Ngāti Whare Claims Settlement Bill  Bill - government,225-3B,RA,05 April 2012,
45,Search and Surveillance Bill  Bill - government,45-3,RA,05 April 2012,Justice and Electoral Committee
46,Environment Canterbury (Democracy Restoration) Amendment Bill  Bill - member's,208-1,W,04 April 2012,
47,Sustainable Biofuel Bill  Bill - member's,49-1,W,04 April 2012,Local Government and Environment Committee
48,Crown Minerals (Protection of Public Conservation Land Listed in the Fourth Schedule) Amendment Bill  Bill - member's,138-1,W,04 April 2012,
49,Arms Amendment Bill (No 3)  Bill - government,248-1,CH,29 March 2012,Law and Order Committee
0,Consumer Guarantees Amendment Bill  Bill - member's,152-1,CH,29 March 2012,Commerce Committee
1,Southland District Council (Stewart Island/Rakiura Visitor Levy) Empowering Bill  Bill - local,159-2,RA,26 March 2012,Local Government and Environment Committee
2,Māori Trustee and Māori Development Amendment Bill  Bill - government,181-2,CH,23 March 2012,Māori Affairs Committee
3,Citizenship Amendment Bill  Bill - government,226-1,SC,21 March 2012,
4,Building Amendment Bill (No 3)  Bill - government,253-3,RA,12 March 2012,Local Government and Environment Committee
5,Trustee Amendment Bill  Bill - government,144-2,CH,12 March 2012,Justice and Electoral Committee
6,"Children, Young Persons, and Their Families Amendment Bill (No 6)  Bill - government",183-2,CH,12 March 2012,Social Services Committee
7,Standards and Accreditation Bill  Bill - government,292-1,SC,12 March 2012,
8,Domestic Violence Reform Bill  Bill - government,304-1,SC,12 March 2012,
9,Patent Attorneys Bill  Bill - government,235-2A,CH,12 March 2012,Commerce Committee
10,Ngāti Manawa and Ngāti Whare Claims Settlement Bill  Bill - government,225-2,3,08 March 2012,Māori Affairs Committee
11,Customs and Excise (Joint Border Management Information Sharing and Other Matters) Amendment Bill  Bill - government,200-2,3,06 March 2012,Justice and Electoral Committee
12,Royal Society of New Zealand Amendment Bill  Bill - private,210-2,RA,02 March 2012,Education and Science Committee
13,Antarctica (Environmental Protection) Amendment Bill  Bill - government,,RA,24 February 2012,
14,Charities Amendment Bill  Bill - government,,RA,24 February 2012,
15,Citizens Initiated Referenda Amendment Bill  Bill - government,,RA,24 February 2012,
16,Civil Defence Emergency Management Amendment Bill  Bill - government,,RA,24 February 2012,
17,Companies Amendment Bill  Bill - government,,RA,24 February 2012,
18,Crimes Amendment Bill  Bill - government,,RA,24 February 2012,
19,Criminal Proceeds (Recovery) Amendment Bill  Bill - government,,RA,24 February 2012,
20,Domestic Violence Amendment Bill  Bill - government,,RA,24 February 2012,
21,Judicature Amendment Bill  Bill - government,,RA,24 February 2012,
22,Limited Partnerships Amendment Bill  Bill - government,,RA,24 February 2012,
23,Marriage Amendment Bill  Bill - government,,RA,24 February 2012,
24,Mutual Assistance in Criminal Matters Amendment Bill  Bill - government,,RA,24 February 2012,
25,New Zealand Railways Corporation Amendment Bill  Bill - government,,RA,24 February 2012,
26,New Zealand Superannuation and Retirement Income Amendment Bill  Bill - government,,RA,24 February 2012,
27,Public Finance Amendment Bill  Bill - government,,RA,24 February 2012,
28,Social Security Amendment Bill  Bill - government,,RA,24 February 2012,
29,Sugar Loaf Islands Marine Protected Area Amendment Bill  Bill - government,,RA,24 February 2012,
30,Trade Marks Amendment Bill  Bill - government,,RA,24 February 2012,
31,Wild Animal Control Amendment Bill  Bill - government,,RA,24 February 2012,
32,Wills Amendment Bill  Bill - government,,RA,24 February 2012,
33,Road User Charges Bill  Bill - government,261-3,RA,20 February 2012,Transport and Industrial Relations Committee
34,National Animal Identification and Tracing Bill  Bill - government,268-3,RA,20 February 2012,Primary Production Committee
35,Statutes Amendment Bill (No 2)  Bill - government,271-2,CH,16 February 2012,Government Administration Committee
36,Smoke-free Environments (Removing Tobacco Displays) Amendment Bill  Bill - member's,207-1,SC,22 December 2011,
37,Subordinate Legislation (Confirmation and Validation) Bill (No 3)  Bill - government,311-1,RA,17 October 2011,Regulations Review Committee
38,Video Camera Surveillance (Temporary Measures) Bill  Bill - government,333-2,RA,17 October 2011,Justice and Electoral Committee
39,Sleepover Wages (Settlement) Bill  Bill - government,331-2,RA,17 October 2011,Health Committee
40,Criminal Procedure Bill  Bill - government,243-3A,RA,17 October 2011,
41,Bail Amendment Bill (No 3)  Bill - government,243-3B,RA,17 October 2011,
42,"Children, Young Persons, and Their Families Amendment Bill (No 3)  Bill - government",243-3C,RA,17 October 2011,
43,Corrections Amendment Bill  Bill - government,243-3D,RA,17 October 2011,
44,Crimes Amendment Bill (No 5)  Bill - government,243-3E,RA,17 October 2011,
45,Criminal Disclosure Amendment Bill  Bill - government,243-3F,RA,17 October 2011,
46,Criminal Procedure (Mentally Impaired Persons) Amendment Bill  Bill - government,243-3G,RA,17 October 2011,
47,District Courts Amendment Bill (No 2)  Bill - government,243-3H,RA,17 October 2011,
48,Evidence Amendment Bill  Bill - government,243-3I,RA,17 October 2011,
49,Juries Amendment Bill  Bill - government,243-3J,RA,17 October 2011,
0,Justices of the Peace Amendment Bill  Bill - government,243-3K,RA,17 October 2011,
1,New Zealand Bill of Rights Amendment Bill  Bill - government,243-3L,RA,17 October 2011,
2,Sentencing Amendment Bill (No 6)  Bill - government,243-3M,RA,17 October 2011,
3,Summary Proceedings Amendment Bill (No 4)  Bill - government,243-3N,RA,17 October 2011,
4,Victims' Rights Amendment Bill  Bill - government,243-3O,RA,17 October 2011,
5,Education (Freedom of Association) Amendment Bill  Bill - member's,75-2,RA,30 September 2011,Education and Science Committee
6,Criminal Procedure (Reform and Modernisation) Bill  Bill - government,243-2,3,29 September 2011,Justice and Electoral Committee
7,Local Government Borrowing Bill  Bill - government,281-3,RA,19 September 2011,Local Government and Environment Committee
8,Crimes Amendment Bill (No 2)  Bill - government,284-2,RA,19 September 2011,Social Services Committee
9,Local Government (Auckland Council) Amendment Bill (No 2)  Bill - government,281-3A,RA,19 September 2011,
10,Māori Purposes Bill  Bill - government,234-1,RA,15 September 2011,Māori Affairs Committee
11,Trade Marks Amendment Bill  Bill - government,245-3A,RA,15 September 2011,
12,Copyright Amendment Bill (No 2)  Bill - government,245-3B,RA,15 September 2011,
13,Maori Fisheries Amendment Bill  Bill - government,,RA,15 September 2011,
14,Maori Trust Boards Amendment Bill  Bill - government,,RA,15 September 2011,
15,Te Ture Whenua Maori Amendment Bill  Bill - government,,,15 September 2011,
16,Aquaculture Reform (Repeals and Transitional Provisions) Amendment Bill  Bill - government,,RA,12 September 2011,
17,Fisheries Amendment Bill (No 2)  Bill - government,,RA,12 September 2011,
18,Maori Commercial Aquaculture Claims Settlement Amendment Bill  Bill - government,,RA,12 September 2011,
19,Resource Management Amendment Bill (No 2)  Bill - government,,RA,12 September 2011,
20,Trade Marks (International Treaties and Enforcement) Amendment Bill  Bill - government,245-2,3,06 September 2011,"Foreign Affairs, Defence and Trade Committee"
21,Student Loan Scheme Bill  Bill - government,198-2,RA,29 August 2011,Finance and Expenditure Committee
22,Taxation (Tax Administration and Remedial Matters) Bill  Bill - government,257-2,RA,29 August 2011,Finance and Expenditure Committee
23,Education Amendment Bill (No 4)  Bill - government,279-2,RA,29 August 2011,Education and Science Committee
24,Freedom Camping Bill  Bill - government,306-2,RA,29 August 2011,Local Government and Environment Committee
25,Duties of Statutory Officers (Census and Other Remedial Provisions) Bill  Bill - government,313-1,RA,29 August 2011,
26,Policing (Storage of Youth Identifying Particulars) Amendment Bill  Bill - government,317-1,RA,29 August 2011,
27,Aquaculture Legislation Amendment Bill (No 3)  Bill - government,239-2,3,18 August 2011,Primary Production Committee
28,Electoral (Administration) Amendment Bill (No 2)  Bill - government,247-3,RA,16 August 2011,Justice and Electoral Committee
29,Domestic Violence Amendment Bill (No 2)  Bill - government,72-3A,RA,16 August 2011,
30,Care of Children Amendment Bill  Bill - government,72-3B,RA,16 August 2011,
31,Adoption Amendment Bill  Bill - government,72-3C,RA,16 August 2011,
32,Appropriation (2011/12 Estimates) Bill  Bill - government,308-1,RA,12 August 2011,
33,Imprest Supply (Second for 2011/12) Bill  Bill - government,314-1,RA,12 August 2011,
34,Child and Family Protection Bill  Bill - government,72-2,3,10 August 2011,Justice and Electoral Committee
35,Misuse of Drugs Amendment Bill  Bill - government,126-3,RA,08 August 2011,Health Committee
36,Weathertight Homes Resolution Services (Financial Assistance Package) Amendment Bill  Bill - government,258-3,RA,22 July 2011,Local Government and Environment Committee
37,Smoke-free Environments (Controls and Enforcement) Amendment Bill  Bill - government,267-2,RA,22 July 2011,Health Committee
38,District Courts Amendment Bill  Bill - government,147-3A,RA,22 July 2011,
39,Land Transport Amendment Bill  Bill - government,147-3B,RA,22 July 2011,
40,Summary Proceedings Amendment Bill (No 3)  Bill - government,147-3C,RA,22 July 2011,
41,"Children, Young Persons, and Their Families Amendment Bill (No 2)  Bill - government",147-3D,RA,22 July 2011,
42,Crimes Amendment Bill (No 4)  Bill - government,147-3E,RA,22 July 2011,
43,Criminal Proceeds (Recovery) Amendment Bill  Bill - government,147-3F,RA,22 July 2011,
44,Customs and Excise Amendment Bill (No 2)  Bill - government,147-3G,RA,22 July 2011,
45,Disputes Tribunals Amendment Bill (No 2)  Bill - government,147-3H,RA,22 July 2011,
46,Family Courts Amendment Bill  Bill - government,147-3I,RA,22 July 2011,
47,Immigration Amendment Bill  Bill - government,147-3J,RA,22 July 2011,
48,Misuse of Drugs Amendment Bill (No 3)  Bill - government,147-3K,RA,22 July 2011,
49,Misuse of Drugs Amendment Act 1978 Amendment Bill  Bill - government,147-3L,RA,22 July 2011,
0,Personal Property Securities Amendment Bill (No 2)  Bill - government,147-3M,RA,22 July 2011,
1,Prisoners’ and Victims’ Claims Amendment Bill  Bill - government,147-3N,RA,22 July 2011,
2,Privacy Amendment Bill (No 2)  Bill - government,147-3O,RA,22 July 2011,
3,Railways Amendment Bill  Bill - government,147-3P,RA,22 July 2011,
4,Residential Tenancies Amendment Bill (No 3)  Bill - government,147-3Q,RA,22 July 2011,
5,Sentencing Amendment Bill (No 5)  Bill - government,147-3R,RA,22 July 2011,
6,Social Security Amendment Bill (No 4)  Bill - government,147-3S,RA,22 July 2011,
7,Tax Administration Amendment Bill  Bill - government,147-3T,RA,22 July 2011,
8,Whanganui Iwi (Whanganui (Kaitoke) Prison and Northern Part of Whanganui Forest) On-account Settlement Bill  Bill - government,67-2,,22 July 2011,Māori Affairs Committee
9,Television New Zealand Amendment Bill  Bill - government,89-2,RA,22 July 2011,Commerce Committee
10,New Zealand Security Intelligence Service Amendment Bill  Bill - government,259-3,RA,12 July 2011,
11,Crimes Amendment Bill (No 3)  Bill - government,259-3A,RA,12 July 2011,
12,New Zealand Security Intelligence Service Amendment Bill  Bill - government,259-3,,12 July 2011,
13,Courts and Criminal Matters Bill  Bill - government,147-2,3,05 July 2011,Law and Order Committee
14,"Telecommunications (TSO, Broadband, and Other Matters) Amendment Bill  Bill - government",250-3,RA,30 June 2011,Finance and Expenditure Committee
15,Appropriation (2010/11 Supplementary Estimates) Bill  Bill - government,307-1,RA,27 June 2011,
16,Imprest Supply (First for 2011/12) Bill  Bill - government,309-1,RA,27 June 2011,
17,Westpac New Zealand Bill  Bill - private,255-2,RA,17 June 2011,Finance and Expenditure Committee
18,Taxation (Canterbury Earthquake Measures) Bill  Bill - government,288-1,RA,24 May 2011,
19,Taxation (Annual Rates and Budget Measures) Bill  Bill - government,305-1,RA,24 May 2011,
20,Auditor Regulation Bill  Bill - government,214-3A,RA,19 May 2011,
21,Financial Reporting Amendment Bill  Bill - government,214-3B,RA,19 May 2011,
22,Dairy Industry Restructuring (New Sunset Provisions) Amendment Bill  Bill - government,223-2,RA,17 May 2011,Primary Production Committee
23,Climate Change Response Amendment Bill  Bill - government,246-3A,RA,17 May 2011,
24,Imports and Exports (Restrictions) Amendment Bill  Bill - government,246-3C,RA,17 May 2011,
25,Hazardous Substances and New Organisms Amendment Bill (No 2)  Bill - government,246-3B,RA,17 May 2011,
26,Ozone Layer Protection Amendment Bill  Bill - government,246-3D,RA,17 May 2011,
27,Resource Management Amendment Bill  Bill - government,246-3E,RA,17 May 2011,
28,Environmental Protection Authority Bill  Bill - government,246-3,RA,17 May 2011,Local Government and Environment Committee
29,Land Transport (Driver Licensing) Amendment Bill  Bill - government,156-1,CH,10 May 2011,Transport and Industrial Relations Committee
30,Land Transport (Road Safety and Other Matters) Amendment Bill  Bill - government,213-3,RA,09 May 2011,Transport and Industrial Relations Committee
31,Hamilton City Council (Parana Park) Land Vesting Bill  Bill - local,154-2,RA,05 May 2011,Local Government and Environment Committee
32,Auditor Regulation and External Reporting Bill  Bill - government,214-2,3,03 May 2011,Commerce Committee
33,Financial Markets Authority Bill  Bill - government,211-3A,RA,18 April 2011,
34,Securities Amendment Bill (No 3)  Bill - government,211-3B,RA,18 April 2011,
35,Securities Markets Amendment Bill (No 2)  Bill - government,211-3C,RA,18 April 2011,
36,KiwiSaver Amendment Bill  Bill - government,211-3D,RA,18 April 2011,
37,Financial Advisers Amendment Bill (No 3)  Bill - government,211-3E,RA,18 April 2011,
38,Canterbury Earthquake Recovery Bill  Bill - government,286-1,RA,18 April 2011,
39,Securities Trustees and Statutory Supervisors Bill  Bill - government,114-3,RA,18 April 2011,Commerce Committee
40,Copyright (Infringing File Sharing) Amendment Bill  Bill - government,119-2,RA,18 April 2011,Commerce Committee
41,Foreshore and Seabed Act (Repeal) Bill  Bill - member's,86-1,SC,13 April 2011,
42,Legal Services Bill  Bill - government,189-2,RA,11 April 2011,Justice and Electoral Committee
43,Financial Markets (Regulators and KiwiSaver) Bill  Bill - government,211-2,3,05 April 2011,Commerce Committee
44,Marine and Coastal Area (Takutai Moana) Bill  Bill - government,201-2,RA,31 March 2011,Māori Affairs Committee
45,Appropriation (2009/10 Financial Review) Bill  Bill - government,265-1,RA,24 March 2011,
46,Regulatory Responsibility Bill  Bill - member's,71-1,CH,17 March 2011,Commerce Committee
47,Canterbury Earthquake Commemoration Day Bill  Bill - government,276-1,RA,14 March 2011,
48,Energy Efficiency and Conservation Amendment Bill  Bill - government,263-1,SC,01 March 2011,
49,Rail Network Bill  Bill - government,251-2,CH,25 January 2011,Government Administration Committee
0,Education Amendment Bill (No 2)  Bill - government,169-2,RA,20 December 2010,Education and Science Committee
1,New Zealand Productivity Commission Bill  Bill - government,179-2,RA,20 December 2010,Commerce Committee
2,Parliamentary Service Amendment Bill  Bill - government,186-2,RA,20 December 2010,Electoral Legislation Committee
3,Taxation (GST and Remedial Matters) Bill  Bill - government,182-2,RA,20 December 2010,Finance and Expenditure Committee
4,"Research, Science, and Technology Bill  Bill - government",,RA,20 December 2010,
5,National Library of New Zealand (Te Puna Mātauranga o Aotearoa) Amendment Bill  Bill - government,,RA,20 December 2010,
6,Public Records Amendment Bill (No 2)  Bill - government,,RA,20 December 2010,
7,Health and Safety in Employment Amendment Bill  Bill - government,,RA,20 December 2010,
8,Electoral Referendum Bill  Bill - government,128-2,RA,20 December 2010,Electoral Legislation Committee
9,Electoral (Finance Reform and Advance Voting) Amendment Bill  Bill - government,146-3,RA,20 December 2010,Electoral Legislation Committee
10,Sale and Supply of Liquor and Liquor Enforcement Bill  Bill - government,254-1,CH,17 December 2010,Justice and Electoral Committee
11,Ngāti Apa (North Island) Claims Settlement Bill  Bill - government,68-3,RA,15 December 2010,Māori Affairs Committee
12,Electoral (Disqualification of Sentenced Prisoners) Amendment Bill  Bill - member's,117-3,,15 December 2010,Law and Order Committee
13,State Sector Management Bill  Bill - government,193-2,3,11 December 2010,Education and Science Committee
14,Holidays Amendment Bill  Bill - government,195-3,RA,26 November 2010,Transport and Industrial Relations Committee
15,Employment Relations Amendment Bill (No 2)  Bill - government,196-3,RA,26 November 2010,Transport and Industrial Relations Committee
16,Subordinate Legislation (Confirmation and Validation) Bill (No 2)  Bill - government,220-1,RA,26 November 2010,Regulations Review Committee
17,Local Government Act 2002 Amendment Bill  Bill - government,142-2,RA,26 November 2010,Local Government and Environment Committee
18,Rugby World Cup 2011 (Empowering) Bill  Bill - government,135-3,RA,22 November 2010,Government Administration Committee
19,Governor-General Bill  Bill - government,163-2,RA,22 November 2010,Government Administration Committee
20,Aquaculture Legislation Amendment Bill (No 2)  Bill - government,242-2,CH,17 November 2010,Primary Production Committee
21,Animal Welfare (Treatment of Animals) Amendment Bill  Bill - member's,190-1,W,10 November 2010,
22,Employment Relations (Film Production Work) Amendment Bill  Bill - government,229-1,RA,29 October 2010,
23,Summary Proceedings Amendment Bill (No 2)  Bill - government,228-1,RA,29 October 2010,
24,Human Rights (Disability Commissioner) Amendment Bill  Bill - member's,192-1,SC,27 October 2010,
25,"Ngati Tuwharetoa, Raukawa, and Te Arawa River Iwi Waikato River Bill  Bill - government",143-3,RA,26 October 2010,Māori Affairs Committee
26,Christ's College (Canterbury) Amendment Bill  Bill - private,108-2,RA,23 October 2010,Government Administration Committee
27,New Zealand Public Health and Disability Amendment Bill  Bill - government,134-3,RA,23 October 2010,Health Committee
28,Human Assisted Reproductive Technology (Storage) Amendment Bill  Bill - government,88-2,RA,15 October 2010,Health Committee
29,Electricity Industry Bill  Bill - government,111-3,RA,05 October 2010,Finance and Expenditure Committee
30,Sale of Liquor (Objections to Applications) Amendment Bill  Bill - member's,230-1,W,22 September 2010,Social Services Committee
31,Franklin District Council (Contribution to Funding of Museums) Amendment Bill  Bill - local,266-1,W,22 September 2010,Local Government and Environment Committee
32,Private Security Personnel and Private Investigators Bill  Bill - government,297-3,RA,20 September 2010,Justice and Electoral Committee
33,Canterbury Earthquake Response and Recovery Bill  Bill - government,215-1,RA,14 September 2010,
34,Electricity (Continuance of Supply) Amendment Bill  Bill - government,296-2,CH,08 September 2010,Commerce Committee
35,Crimes (Reasonable Parental Control and Correction) Amendment Bill  Bill - member's,78-1,W,08 September 2010,
36,Goods and Services Tax (Exemption of Healthy Food) Amendment Bill  Bill - member's,140-1,W,08 September 2010,
37,Privacy (Cross-border Information) Amendment Bill  Bill - government,221-2,RA,07 September 2010,Justice and Electoral Committee
38,Motor Vehicle Sales Amendment Bill  Bill - government,39-2,RA,07 September 2010,Commerce Committee
39,Limitation Bill  Bill - government,33-2,RA,07 September 2010,Justice and Electoral Committee
40,Insurance (Prudential Supervision) Bill  Bill - government,95-2,RA,07 September 2010,Finance and Expenditure Committee
41,"Taxation (Annual Rates, Trans-Tasman Savings Portability, KiwiSaver, and Remedial Matters) Bill  Bill - government",100-2,RA,07 September 2010,Finance and Expenditure Committee
42,Trans-Tasman Proceedings Bill  Bill - government,105-2,RA,31 August 2010,Justice and Electoral Committee
43,"Tariff (New Zealand-Hong Kong, China Closer Economic Partnership Agreement) Amendment Bill  Bill - government",148-1,RA,31 August 2010,"Foreign Affairs, Defence and Trade Committee"
44,"Children, Young Persons, and Their Families Amendment Bill  Bill - government",125-3A,RA,23 August 2010,
45,Education Amendment Bill (No 3)  Bill - government,125-3B,RA,23 August 2010,
46,Taxation (Definitions of Dependent Child) Bill  Bill - government,125-3C,RA,23 August 2010,
47,"Social Security (New Work Tests, Incentives, and Obligations) Amendment Bill  Bill - government",125-3D,RA,23 August 2010,
48,War Pensions Amendment Bill (No 3)  Bill - government,125-3E,RA,23 August 2010,
49,"Social Assistance (New Work Tests, Incentives, and Obligations) Amendment Bill  Bill - government",125-2,,17 August 2010,Social Services Committee
0,Utilities Access Bill  Bill - government,63-3A,RA,05 August 2010,
1,Infrastructure (Amendments Relating to Utilities Access) Bill  Bill - government,63-3B,RA,05 August 2010,
2,New Zealand Railways Corporation Amendment Bill  Bill - government,63-3C,RA,05 August 2010,
3,Affordable Housing: Enabling Territorial Authorities Act Repeal Bill  Bill - government,63-3D,RA,05 August 2010,
4,Imprest Supply (Second for 2010/11) Bill  Bill - government,188-1,RA,05 August 2010,
5,Appropriation (2010/11 Estimates) Bill  Bill - government,158-1,RA,05 August 2010,
6,Education (Board of Trustee Freedom) Amendment Bill  Bill - member's,172-1,W,04 August 2010,
7,Employment Relations (Probationary Period Repeal) Amendment Bill  Bill - member's,174-1,W,04 August 2010,
8,Resource Management (Enhancement of Iwi Management Plans) Amendment Bill  Bill - member's,87-1,W,04 August 2010,
9,Ethical Investment (Crown Financial Institutions) Bill  Bill - member's,149-1,W,04 August 2010,
10,Infrastructure Bill  Bill - government,63-2,3,29 July 2010,Transport and Industrial Relations Committee
11,Residential Tenancies Amendment Bill  Bill - government,34-3,RA,22 July 2010,Social Services Committee
12,Rodney District Council Bill  Bill - local,170-1,W,21 July 2010,
13,Public Works (Offer Back of and Compensation for Acquired Land) Amendment Bill  Bill - member's,139-1,W,21 July 2010,Local Government and Environment Committee
14,Credit Reforms (Responsible Lending) Bill  Bill - member's,73-1,W,21 July 2010,
15,Agricultural Compounds and Veterinary Medicines Amendment Bill  Bill - government,,RA,06 July 2010,
16,Animal Products Amendment Bill  Bill - government,,RA,06 July 2010,
17,Armed Forces Discipline Amendment Bill  Bill - government,,RA,06 July 2010,
18,"Births, Deaths, Marriages, and Relationships Registration Amendment Bill  Bill - government",,RA,06 July 2010,
19,Building Amendment Bill  Bill - government,,RA,06 July 2010,
20,Charitable Trusts Amendment Bill  Bill - government,,RA,06 July 2010,
21,Chatham Islands Council Amendment Bill  Bill - government,,RA,06 July 2010,
22,Companies Amendment Bill (No 2)  Bill - government,,RA,06 July 2010,
23,Conservation Amendment Bill (No 2)  Bill - government,,RA,06 July 2010,
24,Copyright Amendment Bill  Bill - government,,RA,06 July 2010,
25,Coroners Amendment Bill  Bill - government,,RA,06 July 2010,
26,Court Martial Amendment Bill  Bill - government,,RA,06 July 2010,
27,Court Martial Appeals Amendment Bill  Bill - government,,RA,06 July 2010,
28,"Crimes (Internationally Protected Persons, United Nations and Associated Personnel, and Hostages) Amendment Bill  Bill - government",,RA,06 July 2010,
29,Crown Entities Amendment Bill  Bill - government,,RA,06 July 2010,
30,Defence Amendment Bill  Bill - government,,RA,06 July 2010,
31,Dog Control Amendment Bill  Bill - government,,RA,06 July 2010,
32,Electoral Amendment Bill (No 2)  Bill - government,,RA,06 July 2010,
33,Epidemic Preparedness Amendment Bill  Bill - government,,RA,06 July 2010,
34,Fire Service Amendment Bill  Bill - government,,RA,06 July 2010,
